ucgid,B07201_014MA,B07201_014EA,B07201_013EA,B07201_013MA,B07201_012EA,B07201_012MA,B07201_011EA,B07201_011MA,B07201_010MA,B07201_010EA,B07201_009MA,B07201_009EA,B07201_008MA,B07201_008EA,B07201_007EA,B07201_007MA,B07201_006EA,B07201_006MA,B07201_005MA,B07201_005EA,B07201_004MA,B07201_004EA,B07201_003MA,B07201_003EA,B07201_002EA,B07201_002MA,B07201_001EA,B07201_001MA,NAME,B07201_014M,B07201_014E,B07201_013M,B07201_013E,B07201_012M,B07201_012E,B07201_011M,B07201_011E,B07201_010M,B07201_010E,B07201_009M,B07201_009E,B07201_008M,B07201_008E,B07201_007M,B07201_007E,B07201_006M,B07201_006E,B07201_005M,B07201_005E,B07201_004M,B07201_004E,B07201_003M,B07201_003E,B07201_002M,B07201_002E,B07201_001M,B07201_001E,GEO_ID
3100000US25980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hinesville-Fort Stewart, GA Metro Area",1050,4995,380,369,376,312,547,523,662,835,1384,3366,1527,4049,1966,7415,979,1885,1899,6112,1993,7997,2773,16616,3265,50267,2238,71878,3100000US25980
3100000US26100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Holland-Grand Haven, MI Metro Area",385,654,763,1003,700,1107,398,578,868,1685,2182,8356,1154,4026,2663,12382,2849,10727,1868,6051,3314,16778,4085,31848,4196,222092,860,254594,3100000US26100
3100000US26140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Homosassa Springs, FL Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US26140
3100000US26180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Honolulu, HI Metro Area",3228,14416,698,1500,1030,2207,877,2808,1185,5015,3523,19577,3718,21165,4790,40742,7571,49961,4880,32117,8130,82078,8653,129335,8370,754323,1719,898074,3100000US26180
3100000US26300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hot Springs, AR Metro Area",405,470,708,1153,848,1562,1014,967,1293,2529,1092,2296,1526,2002,1869,4298,2589,5281,2436,8615,3512,13896,3593,21876,3641,71714,422,94060,3100000US26300
3100000US26380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houma-Bayou Cane-Thibodaux, LA Metro Area",267,0,292,290,138,112,213,207,249,319,1139,2208,1268,2808,1788,5016,3881,15506,2048,7117,4416,22623,4895,28248,5006,172675,688,200923,3100000US26380
3100000US26420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston-Sugar Land-Baytown, TX Metro Area",6558,47946,4512,17753,3559,11571,3006,11624,4339,23195,9240,75626,10076,141921,14075,217547,15901,299187,22855,474522,27842,773709,29789,1032204,30969,4375102,6514,5455252,3100000US26420
3100000US26580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntington-Ashland, WV-KY-OH Metro Area",195,276,821,2054,487,925,900,1139,959,2064,1819,4142,900,1960,2005,6102,4078,20384,3080,11862,4860,32246,4900,42466,5111,239645,868,282387,3100000US26580
3100000US26620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Huntsville, AL Metro Area",850,1778,420,957,1134,2713,505,939,1274,3652,2726,10068,2610,9557,3682,19625,3291,20755,4022,23093,4903,43848,5973,68082,6144,303294,964,373154,3100000US26620
3100000US26820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Idaho Falls, ID Metro Area",447,387,753,948,1760,2444,1748,3534,2452,5978,897,1875,796,1715,1194,3590,1411,2767,2274,9700,2784,12467,3633,22983,4022,92112,1673,115482,3100000US26820
3100000US26860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indiana, PA Micro Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100000US26860
3100000US26900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Indianapolis-Carmel, IN Metro Area",1895,6118,1992,4719,2191,4960,2708,7371,3352,12331,3234,23311,3872,29079,5307,52390,6558,73356,9762,148204,12172,221560,12464,291000,12465,1345275,3396,1642393,3100000US26900
3100000US26980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Iowa City, IA Metro Area",807,1564,891,2756,419,672,844,1680,918,2352,818,4323,1402,6114,1606,10437,1395,6594,2384,17176,2577,23770,3226,39315,3165,96649,473,137528,3100000US26980
3100000US27060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ithaca, NY Metro Area",766,2136,426,445,345,668,832,1158,841,1826,975,4971,954,5463,1390,10434,1716,4025,2082,13939,2705,17964,2541,30669,2638,66864,374,99669,3100000US27060
